image_name,filter_type,filter_name,kernel_size,padding,runtime,file_name
NZjers1,magnitude,gaussian,3,constant,-1,./results/edge/NZjers1/gaussian/magnitude/3-constant-DIwvCaIB.png
NZjers1,direction,gaussian,3,constant,-1,./results/edge/NZjers1/gaussian/direction/3-constant-ZQaHWOXN.png
NZjers1,combined,gaussian,3,constant,-1,./results/edge/NZjers1/gaussian/combined/3-constant-joQxNyiH.png
NZjers1,magnitude,gaussian,5,constant,-1,./results/edge/NZjers1/gaussian/magnitude/5-constant-HtjhWKcw.png
NZjers1,direction,gaussian,5,constant,-1,./results/edge/NZjers1/gaussian/direction/5-constant-QFtQQBtj.png
NZjers1,combined,gaussian,5,constant,-1,./results/edge/NZjers1/gaussian/combined/5-constant-VGyRgDor.png
NZjers1,magnitude,gaussian,7,constant,-1,./results/edge/NZjers1/gaussian/magnitude/7-constant-CrdGCIYh.png
NZjers1,direction,gaussian,7,constant,-1,./results/edge/NZjers1/gaussian/direction/7-constant-vlSzSpCF.png
NZjers1,combined,gaussian,7,constant,-1,./results/edge/NZjers1/gaussian/combined/7-constant-EtEAwkUd.png
NZjers1,magnitude,gaussian,9,constant,-1,./results/edge/NZjers1/gaussian/magnitude/9-constant-uKHOEoLJ.png
NZjers1,direction,gaussian,9,constant,-1,./results/edge/NZjers1/gaussian/direction/9-constant-zhoaWwNU.png
NZjers1,combined,gaussian,9,constant,-1,./results/edge/NZjers1/gaussian/combined/9-constant-RDdlLWFa.png
NZjers1,magnitude,gaussian,11,constant,-1,./results/edge/NZjers1/gaussian/magnitude/11-constant-BdzrKYKB.png
NZjers1,direction,gaussian,11,constant,-1,./results/edge/NZjers1/gaussian/direction/11-constant-IuPcxEwk.png
NZjers1,combined,gaussian,11,constant,-1,./results/edge/NZjers1/gaussian/combined/11-constant-kZcCOGtN.png
NZjers1,magnitude,gaussian,13,constant,-1,./results/edge/NZjers1/gaussian/magnitude/13-constant-amGRfzmP.png
NZjers1,direction,gaussian,13,constant,-1,./results/edge/NZjers1/gaussian/direction/13-constant-cPifTOlO.png
NZjers1,combined,gaussian,13,constant,-1,./results/edge/NZjers1/gaussian/combined/13-constant-VmKOQRkl.png
NZjers1,magnitude,gaussian,15,constant,-1,./results/edge/NZjers1/gaussian/magnitude/15-constant-ABPBAfmb.png
NZjers1,direction,gaussian,15,constant,-1,./results/edge/NZjers1/gaussian/direction/15-constant-frFVNOjn.png
NZjers1,combined,gaussian,15,constant,-1,./results/edge/NZjers1/gaussian/combined/15-constant-cwgcwTKv.png
NZjers1,magnitude,box,3,constant,-1,./results/edge/NZjers1/box/magnitude/3-constant-LGShtoCw.png
NZjers1,direction,box,3,constant,-1,./results/edge/NZjers1/box/direction/3-constant-IlgqUVxI.png
NZjers1,combined,box,3,constant,-1,./results/edge/NZjers1/box/combined/3-constant-DZXQSNgQ.png
NZjers1,magnitude,box,5,constant,-1,./results/edge/NZjers1/box/magnitude/5-constant-wRqhiSSa.png
NZjers1,direction,box,5,constant,-1,./results/edge/NZjers1/box/direction/5-constant-HhJjPsZO.png
