image_name,filter_type,filter_name,kernel_size,padding,runtime,file_name

NZjers1,linear,gaussian,3,constant,15235300,./results/filter/NZjers1/gaussian/3-constant-FABGqLet.png
NZjers1,linear,gaussian,5,constant,13222600,./results/filter/NZjers1/gaussian/5-constant-BwZQwEMI.png
NZjers1,linear,gaussian,7,constant,12694800,./results/filter/NZjers1/gaussian/7-constant-nEAVTDDA.png
NZjers1,linear,gaussian,9,constant,12092800,./results/filter/NZjers1/gaussian/9-constant-GJMgeEcL.png
NZjers1,linear,gaussian,11,constant,16696400,./results/filter/NZjers1/gaussian/11-constant-gABzGXgG.png
NZjers1,linear,gaussian,13,constant,23151700,./results/filter/NZjers1/gaussian/13-constant-eaBXdWio.png
NZjers1,linear,gaussian,15,constant,15469200,./results/filter/NZjers1/gaussian/15-constant-fImQyQjX.png
NZjers1,linear,box,3,constant,10993500,./results/filter/NZjers1/box/3-constant-OxlpmmhL.png
NZjers1,linear,box,5,constant,10548800,./results/filter/NZjers1/box/5-constant-uODgXiFG.png
NZjers1,linear,box,7,constant,13188200,./results/filter/NZjers1/box/7-constant-xffiSIoh.png
NZjers1,linear,box,9,constant,10630600,./results/filter/NZjers1/box/9-constant-hsmdaCWj.png
NZjers1,linear,box,11,constant,6758800,./results/filter/NZjers1/box/11-constant-fgUwlNgv.png
NZjers1,linear,box,13,constant,9733500,./results/filter/NZjers1/box/13-constant-JupyWEMX.png
NZjers1,linear,box,15,constant,12365700,./results/filter/NZjers1/box/15-constant-kOPszYAd.png
NZjers1,linear,butterworth_low_pass,3,constant,7895100,./results/filter/NZjers1/butterworth_low_pass/3-constant-RDOtpiGF.png
NZjers1,linear,butterworth_low_pass,5,constant,14648400,./results/filter/NZjers1/butterworth_low_pass/5-constant-QFzJHmkH.png
NZjers1,linear,butterworth_low_pass,7,constant,9993100,./results/filter/NZjers1/butterworth_low_pass/7-constant-BgWDEvSG.png
NZjers1,linear,butterworth_low_pass,9,constant,13970200,./results/filter/NZjers1/butterworth_low_pass/9-constant-FtVNfUKE.png
NZjers1,linear,butterworth_low_pass,11,constant,10935500,./results/filter/NZjers1/butterworth_low_pass/11-constant-QuxTKmUv.png
NZjers1,linear,butterworth_low_pass,13,constant,13046200,./results/filter/NZjers1/butterworth_low_pass/13-constant-CzwuBhss.png
NZjers1,linear,butterworth_low_pass,15,constant,11140500,./results/filter/NZjers1/butterworth_low_pass/15-constant-TKoxbLNG.png
NZjers1,linear,low_pass,3,constant,9627900,./results/filter/NZjers1/low_pass/3-constant-QsxCQrTt.png
NZjers1,linear,low_pass,5,constant,17110400,./results/filter/NZjers1/low_pass/5-constant-RpIqUNud.png
NZjers1,linear,low_pass,7,constant,11487000,./results/filter/NZjers1/low_pass/7-constant-fVecpgPW.png
NZjers1,linear,low_pass,9,constant,12810600,./results/filter/NZjers1/low_pass/9-constant-NSxuJoVs.png
NZjers1,linear,low_pass,11,constant,9329100,./results/filter/NZjers1/low_pass/11-constant-KlWnbfRX.png
NZjers1,linear,low_pass,13,constant,18472900,./results/filter/NZjers1/low_pass/13-constant-vrMYpBHE.png
NZjers1,linear,low_pass,15,constant,12218000,./results/filter/NZjers1/low_pass/15-constant-SDujZtPv.png
NZjers1,linear,geometric_mean,3,constant,1188014200,./results/filter/NZjers1/geometric_mean/3-constant-PoEcvQwK.png
NZjers1,linear,geometric_mean,5,constant,1247425500,./results/filter/NZjers1/geometric_mean/5-constant-wVmxQWea.png
NZjers1,linear,geometric_mean,7,constant,1188007100,./results/filter/NZjers1/geometric_mean/7-constant-HjlpPxlW.png
NZjers1,linear,geometric_mean,9,constant,1182599800,./results/filter/NZjers1/geometric_mean/9-constant-vbEwFPYc.png
NZjers1,linear,geometric_mean,11,constant,1175634100,./results/filter/NZjers1/geometric_mean/11-constant-lwcGmVWN.png
